,temp=27.275909090909096,temp=28.18477272727273,temp=29.093636363636367,temp=30.002500000000005,temp=30.91136363636364,temp=31.820227272727276,temp=32.72909090909091,temp=33.63795454545455,temp=34.54681818181818,temp=35.455681818181816,temp=36.36454545454546,temp=37.27340909090909,temp=38.182272727272725,temp=39.091136363636366,temp=40.0
1986,0.125,0.25,0.125,0.375,0.375,0.125,0.25,0.25,0.125,0.375,0.5,0.0,0.25,0.125,0.125
1987,0.25,0.375,0.25,0.25,0.5,0.25,0.125,0.125,0.25,0.25,0.375,0.125,0.125,0.25,0.0
1988,0.25,0.25,0.125,0.375,0.625,0.375,0.125,0.25,0.375,0.125,0.25,0.25,0.0,0.125,0.125
1989,0.375,0.375,0.0,0.5,0.5,0.375,0.25,0.125,0.25,0.0,0.125,0.125,0.125,0.25,0.0
1990,0.25,0.25,0.125,0.625,0.375,0.25,0.25,0.25,0.125,0.125,0.0,0.25,0.0,0.125,0.125
1991,0.125,0.375,0.25,0.5,0.25,0.375,0.125,0.125,0.0,0.25,0.125,0.375,0.125,0.0,0.0
1992,0.0,0.5,0.375,0.625,0.25,0.25,0.25,0.0,0.125,0.125,0.0,0.25,0.0,0.125,0.125
1993,0.125,0.625,0.25,0.5,0.125,0.25,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.25
1994,0.0,0.5,0.125,0.375,0.0,0.375,0.0,0.125,0.125,0.125,0.25,0.25,0.0,0.125,0.375
1995,0.125,0.625,0.25,0.5,0.125,0.25,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.25
1996,0.25,0.5,0.125,0.375,0.0,0.25,0.25,0.125,0.125,0.125,0.0,0.0,0.0,0.25,0.375
1997,0.125,0.625,0.0,0.5,0.125,0.125,0.125,0.25,0.0,0.25,0.0,0.125,0.125,0.125,0.5
1998,0.25,0.5,0.125,0.5,0.0,0.25,0.0,0.125,0.125,0.125,0.125,0.25,0.25,0.0,0.625
1999,0.125,0.375,0.0,0.375,0.125,0.375,0.125,0.25,0.0,0.25,0.0,0.125,0.125,0.125,0.75
2000,0.0,0.25,0.125,0.5,0.0,0.25,0.25,0.375,0.125,0.125,0.125,0.25,0.25,0.0,0.625
2001,0.125,0.375,0.0,0.625,0.125,0.125,0.125,0.25,0.25,0.25,0.0,0.375,0.375,0.0,0.75
2002,0.25,0.25,0.125,0.75,0.0,0.25,0.0,0.375,0.125,0.125,0.125,0.25,0.375,0.125,0.625
2003,0.125,0.375,0.25,0.625,0.125,0.125,0.125,0.25,0.0,0.25,0.0,0.375,0.5,0.25,0.75
2004,0.0,0.25,0.125,0.75,0.0,0.25,0.0,0.375,0.125,0.125,0.125,0.5,0.375,0.125,0.625
2005,0.125,0.125,0.0,0.625,0.125,0.125,0.125,0.25,0.0,0.25,0.25,0.625,0.25,0.25,0.5
2006,0.0,0.0,0.125,0.5,0.125,0.25,0.0,0.125,0.0,0.125,0.125,0.5,0.125,0.125,0.375
2007,0.125,0.125,0.0,0.625,0.25,0.125,0.125,0.25,0.125,0.25,0.0,0.375,0.0,0.0,0.5
2008,0.25,0.25,0.125,0.625,0.125,0.0,0.0,0.125,0.0,0.375,0.0,0.5,0.125,0.125,0.375
2009,0.125,0.375,0.0,0.5,0.0,0.125,0.125,0.0,0.125,0.25,0.125,0.625,0.0,0.25,0.5
2010,0.0,0.5,0.125,0.375,0.125,0.25,0.25,0.125,0.25,0.125,0.25,0.5,0.125,0.125,0.375
2011,0.125,0.375,0.25,0.25,0.0,0.25,0.375,0.0,0.125,0.0,0.375,0.375,0.0,0.25,0.25
2012,0.25,0.25,0.125,0.125,0.125,0.125,0.25,0.125,0.25,0.125,0.5,0.5,0.125,0.25,0.125
2013,0.25,0.125,0.125,0.25,0.0,0.25,0.125,0.25,0.125,0.0,0.375,0.375,0.25,0.375,0.0
2014,0.375,0.25,0.0,0.125,0.125,0.125,0.25,0.125,0.0,0.125,0.25,0.5,0.125,0.25,0.125
2015,0.375,0.125,0.125,0.0,0.25,0.25,0.125,0.25,0.125,0.0,0.375,0.375,0.25,0.125,0.25
2016,0.25,0.0,0.0,0.125,0.125,0.375,0.0,0.125,0.25,0.125,0.25,0.25,0.25,0.25,0.375
2017,0.125,0.125,0.125,0.0,0.0,0.5,0.125,0.0,0.375,0.0,0.375,0.125,0.125,0.25,0.25
2018,0.25,0.0,0.25,0.125,0.125,0.375,0.0,0.125,0.25,0.125,0.5,0.25,0.125,0.125,0.125
2019,0.125,0.125,0.375,0.25,0.0,0.25,0.125,0.25,0.375,0.0,0.375,0.375,0.0,0.0,0.0
2020,0.25,0.0,0.5,0.125,0.125,0.125,0.25,0.125,0.5,0.125,0.5,0.25,0.125,0.125,0.125
2021,0.375,0.125,0.375,0.25,0.0,0.0,0.125,0.25,0.625,0.0,0.625,0.375,0.25,0.25,0.0
2022,0.25,0.0,0.5,0.125,0.125,0.125,0.25,0.125,0.625,0.125,0.5,0.25,0.125,0.125,0.125
2023,0.125,0.125,0.625,0.25,0.25,0.0,0.125,0.0,0.5,0.0,0.375,0.375,0.0,0.25,0.0
2024,0.25,0.0,0.625,0.25,0.375,0.125,0.25,0.125,0.625,0.125,0.5,0.25,0.0,0.125,0.125
2025,0.375,0.125,0.5,0.125,0.25,0.25,0.125,0.25,0.5,0.25,0.375,0.125,0.125,0.0,0.0
2026,0.5,0.0,0.625,0.0,0.375,0.375,0.0,0.125,0.5,0.125,0.25,0.0,0.25,0.0,0.125
2027,0.375,0.125,0.5,0.125,0.375,0.25,0.125,0.0,0.375,0.25,0.125,0.125,0.375,0.125,0.25
2028,0.5,0.25,0.375,0.0,0.5,0.125,0.25,0.125,0.25,0.375,0.25,0.0,0.25,0.0,0.125
2029,0.5,0.125,0.5,0.125,0.375,0.25,0.125,0.0,0.125,0.25,0.125,0.125,0.375,0.125,0.25
2030,0.625,0.0,0.375,0.25,0.5,0.125,0.25,0.125,0.25,0.375,0.0,0.0,0.25,0.0,0.125
2031,0.5,0.125,0.5,0.375,0.375,0.25,0.375,0.0,0.25,0.25,0.125,0.125,0.375,0.125,0.25
2032,0.375,0.25,0.375,0.5,0.5,0.125,0.25,0.125,0.375,0.375,0.25,0.25,0.25,0.0,0.375
2033,0.5,0.375,0.25,0.625,0.375,0.0,0.125,0.0,0.25,0.25,0.375,0.125,0.125,0.125,0.25
2034,0.375,0.5,0.125,0.5,0.25,0.125,0.0,0.125,0.25,0.375,0.25,0.0,0.25,0.0,0.125
2035,0.5,0.625,0.25,0.625,0.125,0.0,0.125,0.25,0.125,0.5,0.125,0.125,0.125,0.125,0.25
2036,0.625,0.75,0.375,0.5,0.25,0.125,0.25,0.125,0.0,0.375,0.25,0.25,0.0,0.25,0.125
2037,0.5,0.625,0.5,0.625,0.375,0.0,0.125,0.125,0.125,0.5,0.125,0.125,0.125,0.125,0.0
2038,0.375,0.5,0.375,0.5,0.25,0.125,0.0,0.25,0.0,0.375,0.0,0.0,0.0,0.25,0.125
2039,0.25,0.375,0.5,0.375,0.375,0.25,0.125,0.125,0.125,0.25,0.125,0.125,0.125,0.125,0.0
2040,0.375,0.25,0.375,0.25,0.25,0.375,0.0,0.25,0.0,0.375,0.25,0.0,0.25,0.25,0.125
2041,0.25,0.125,0.25,0.375,0.125,0.25,0.125,0.125,0.125,0.25,0.125,0.125,0.375,0.125,0.0
2042,0.125,0.25,0.375,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.25,0.25,0.125
2043,0.25,0.125,0.25,0.125,0.375,0.25,0.125,0.25,0.125,0.0,0.125,0.125,0.375,0.25,0.0
2044,0.375,0.25,0.375,0.0,0.5,0.125,0.25,0.125,0.25,0.125,0.25,0.25,0.25,0.125,0.125
2045,0.5,0.125,0.25,0.125,0.375,0.25,0.125,0.25,0.125,0.0,0.375,0.125,0.125,0.0,0.0
2046,0.375,0.25,0.375,0.0,0.25,0.375,0.0,0.125,0.0,0.125,0.25,0.25,0.0,0.125,0.125
2047,0.375,0.125,0.25,0.125,0.25,0.25,0.125,0.25,0.125,0.0,0.375,0.125,0.125,0.0,0.0
2048,0.25,0.0,0.125,0.0,0.125,0.25,0.0,0.375,0.25,0.125,0.5,0.25,0.25,0.125,0.125
2049,0.125,0.125,0.0,0.125,0.25,0.125,0.125,0.25,0.125,0.0,0.625,0.125,0.125,0.0,0.25
2050,0.0,0.25,0.125,0.0,0.375,0.0,0.25,0.125,0.0,0.125,0.5,0.0,0.0,0.125,0.375
2051,0.125,0.125,0.125,0.125,0.5,0.125,0.125,0.0,0.125,0.25,0.375,0.125,0.125,0.0,0.25
2052,0.25,0.25,0.0,0.0,0.375,0.25,0.0,0.125,0.0,0.125,0.375,0.25,0.0,0.125,0.125
2053,0.125,0.125,0.125,0.125,0.5,0.375,0.125,0.25,0.125,0.0,0.5,0.125,0.125,0.125,0.0
2054,0.0,0.25,0.25,0.25,0.5,0.5,0.25,0.125,0.0,0.125,0.5,0.25,0.25,0.0,0.125
2055,0.125,0.125,0.125,0.375,0.625,0.625,0.375,0.0,0.125,0.25,0.375,0.125,0.125,0.125,0.0
2056,0.25,0.0,0.0,0.25,0.5,0.5,0.5,0.125,0.25,0.375,0.25,0.0,0.0,0.0,0.125
2057,0.125,0.125,0.125,0.125,0.375,0.375,0.625,0.0,0.125,0.25,0.125,0.125,0.125,0.125,0.0
2058,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.125,0.25,0.375,0.0,0.25,0.0,0.0,0.125
2059,0.375,0.125,0.125,0.375,0.375,0.625,0.375,0.0,0.125,0.5,0.125,0.125,0.125,0.125,0.25
2060,0.5,0.0,0.0,0.25,0.25,0.75,0.5,0.125,0.25,0.375,0.25,0.0,0.25,0.0,0.125
2061,0.625,0.125,0.125,0.125,0.375,0.875,0.375,0.25,0.375,0.25,0.125,0.125,0.125,0.125,0.25
2062,0.625,0.0,0.0,0.25,0.25,0.75,0.25,0.375,0.375,0.125,0.0,0.25,0.25,0.0,0.125
2063,0.5,0.125,0.125,0.375,0.125,0.75,0.125,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.0
2064,0.5,0.25,0.25,0.25,0.0,0.875,0.0,0.125,0.375,0.125,0.0,0.25,0.0,0.0,0.125
2065,0.625,0.375,0.375,0.375,0.0,0.75,0.0,0.0,0.5,0.0,0.125,0.125,0.125,0.125,0.25
2066,0.5,0.25,0.25,0.25,0.125,0.625,0.125,0.125,0.375,0.125,0.25,0.25,0.0,0.25,0.125
