,temp=0.01,temp=40.0
0,1.0,1.0
1,1.0,0.875
2,1.0,0.75
3,1.0,0.625
4,1.0,0.5
5,1.0,0.375
6,1.0,0.5
7,1.0,0.375
8,1.0,0.25
9,1.0,0.375
