,kT,Magnetization
0,0.01,0.25
1,0.7989473684210526,0.125
2,1.5878947368421052,0.0
3,2.3768421052631576,0.125
4,3.1657894736842103,0.125
5,3.954736842105263,0.375
6,4.7436842105263155,0.5
7,5.532631578947369,0.25
8,6.321578947368421,0.0
9,7.110526315789473,0.125
10,7.899473684210526,0.25
11,8.688421052631579,0.25
12,9.477368421052631,0.125
13,10.266315789473683,0.0
14,11.055263157894737,0.125
15,11.84421052631579,0.25
16,12.633157894736842,0.125
17,13.422105263157894,0.0
18,14.211052631578946,0.125
19,15.0,0.125
