,kT,Magnetization
0,0.01,0.0
1,0.7989473684210526,0.25
2,1.5878947368421052,0.375
3,2.3768421052631576,0.25
4,3.1657894736842103,0.375
5,3.954736842105263,0.75
6,4.7436842105263155,0.0
7,5.532631578947369,0.125
8,6.321578947368421,0.25
9,7.110526315789473,0.25
10,7.899473684210526,0.375
11,8.688421052631579,0.375
12,9.477368421052631,0.125
13,10.266315789473683,0.125
14,11.055263157894737,0.375
15,11.84421052631579,0.125
16,12.633157894736842,0.0
17,13.422105263157894,0.125
18,14.211052631578946,0.5
19,15.0,0.0
