,temp=0.01,temp=0.5,temp=1.0,temp=1.5,temp=2.0,temp=2.5,temp=3.0,temp=3.5,temp=4.0,temp=4.5,temp=5.0,temp=5.5,temp=6.0,temp=6.5,temp=7.0,temp=7.5,temp=8.0,temp=8.5,temp=9.0,temp=9.5,temp=10.0,temp=10.5,temp=11.0,temp=11.5,temp=12.0,temp=12.5,temp=13.0,temp=13.5,temp=14.0,temp=14.5,temp=15.0
17474,1.0,1.0,1.0,1.0,1.0,0.875,0.75,1.0,0.875,0.375,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.625,0.125,0.25,0.25,0.0,0.0,0.0,0.25,0.125,0.375,0.125
17475,1.0,1.0,1.0,1.0,1.0,0.875,0.625,1.0,0.875,0.5,0.25,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.625,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.5,0.0
17476,1.0,1.0,1.0,1.0,1.0,0.75,0.625,1.0,0.875,0.625,0.125,0.125,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.625,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.125,0.375,0.125
17477,1.0,1.0,1.0,1.0,1.0,0.75,0.625,1.0,0.875,0.625,0.0,0.125,0.0,0.125,0.0,0.375,0.125,0.125,0.125,0.25,0.5,0.375,0.125,0.125,0.125,0.25,0.125,0.125,0.0,0.25,0.0
17478,1.0,1.0,1.0,1.0,1.0,0.75,0.625,1.0,0.875,0.5,0.125,0.25,0.125,0.25,0.0,0.375,0.125,0.125,0.25,0.125,0.5,0.25,0.125,0.0,0.0,0.125,0.25,0.125,0.125,0.125,0.125
17479,1.0,1.0,1.0,1.0,1.0,0.75,0.625,1.0,0.875,0.375,0.0,0.375,0.125,0.125,0.125,0.25,0.25,0.0,0.25,0.0,0.375,0.375,0.25,0.125,0.125,0.25,0.125,0.0,0.0,0.0,0.25
17480,1.0,1.0,1.0,1.0,1.0,0.875,0.75,1.0,0.875,0.375,0.125,0.5,0.25,0.0,0.25,0.25,0.125,0.125,0.125,0.125,0.5,0.5,0.375,0.0,0.0,0.375,0.25,0.125,0.125,0.125,0.125
17481,1.0,1.0,1.0,1.0,1.0,0.875,0.625,0.875,0.75,0.375,0.0,0.625,0.25,0.125,0.25,0.125,0.25,0.125,0.0,0.25,0.375,0.625,0.5,0.125,0.125,0.5,0.125,0.0,0.0,0.0,0.25
17482,1.0,1.0,1.0,1.0,1.0,0.875,0.5,0.875,0.75,0.375,0.125,0.625,0.125,0.25,0.375,0.0,0.125,0.0,0.125,0.25,0.25,0.5,0.375,0.25,0.0,0.375,0.25,0.125,0.0,0.125,0.125
17483,1.0,1.0,1.0,1.0,1.0,0.75,0.625,0.875,0.75,0.5,0.125,0.75,0.25,0.125,0.25,0.0,0.125,0.125,0.25,0.25,0.125,0.375,0.25,0.125,0.125,0.25,0.125,0.0,0.125,0.0,0.0
17484,1.0,1.0,1.0,1.0,1.0,0.75,0.625,0.875,0.875,0.625,0.25,0.625,0.125,0.25,0.375,0.125,0.25,0.0,0.375,0.25,0.0,0.25,0.375,0.25,0.25,0.375,0.25,0.125,0.0,0.125,0.125
17485,1.0,1.0,1.0,1.0,1.0,0.75,0.625,0.875,0.875,0.625,0.125,0.625,0.0,0.375,0.25,0.0,0.25,0.125,0.25,0.375,0.125,0.375,0.375,0.375,0.25,0.5,0.375,0.25,0.125,0.0,0.0
17486,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.875,1.0,0.625,0.0,0.625,0.125,0.25,0.375,0.125,0.125,0.25,0.25,0.5,0.0,0.25,0.25,0.25,0.375,0.375,0.5,0.25,0.125,0.125,0.0
17487,1.0,1.0,1.0,1.0,1.0,0.75,0.375,0.75,1.0,0.5,0.125,0.625,0.25,0.375,0.25,0.0,0.25,0.375,0.375,0.375,0.0,0.25,0.375,0.375,0.25,0.5,0.375,0.125,0.25,0.0,0.125
17488,1.0,1.0,1.0,1.0,1.0,0.75,0.375,0.75,1.0,0.375,0.0,0.5,0.125,0.375,0.375,0.125,0.125,0.5,0.25,0.375,0.125,0.375,0.25,0.25,0.125,0.5,0.25,0.25,0.125,0.125,0.25
17489,1.0,1.0,1.0,1.0,1.0,0.875,0.375,0.625,1.0,0.25,0.125,0.375,0.25,0.375,0.25,0.0,0.0,0.375,0.375,0.25,0.0,0.25,0.125,0.125,0.25,0.625,0.25,0.25,0.0,0.25,0.125
17490,1.0,1.0,1.0,1.0,1.0,0.875,0.5,0.75,0.875,0.25,0.25,0.25,0.125,0.25,0.375,0.125,0.125,0.25,0.5,0.125,0.125,0.125,0.25,0.0,0.125,0.625,0.125,0.125,0.125,0.125,0.0
17491,1.0,1.0,1.0,1.0,1.0,0.875,0.5,0.625,0.875,0.375,0.25,0.125,0.25,0.125,0.25,0.0,0.0,0.125,0.375,0.125,0.25,0.125,0.375,0.125,0.125,0.75,0.25,0.25,0.25,0.25,0.0
17492,1.0,1.0,1.0,1.0,1.0,0.875,0.5,0.625,0.75,0.375,0.125,0.0,0.25,0.0,0.25,0.125,0.125,0.0,0.25,0.25,0.375,0.25,0.5,0.0,0.25,0.625,0.375,0.125,0.375,0.125,0.125
17493,1.0,1.0,1.0,1.0,1.0,0.875,0.5,0.75,0.75,0.25,0.0,0.125,0.25,0.125,0.125,0.0,0.0,0.125,0.375,0.125,0.25,0.125,0.375,0.125,0.125,0.5,0.25,0.0,0.5,0.25,0.0
17494,1.0,1.0,1.0,1.0,0.875,0.875,0.375,0.75,0.75,0.25,0.125,0.0,0.125,0.25,0.25,0.125,0.125,0.0,0.25,0.25,0.375,0.0,0.25,0.0,0.25,0.5,0.125,0.0,0.625,0.375,0.125
17495,1.0,1.0,1.0,1.0,0.75,0.875,0.375,0.875,0.75,0.375,0.0,0.125,0.0,0.25,0.125,0.25,0.25,0.0,0.375,0.375,0.5,0.125,0.25,0.125,0.375,0.375,0.25,0.0,0.5,0.375,0.0
17496,1.0,1.0,1.0,1.0,0.75,0.75,0.375,0.875,0.75,0.5,0.0,0.0,0.125,0.125,0.25,0.25,0.125,0.0,0.5,0.5,0.5,0.0,0.25,0.25,0.375,0.5,0.125,0.0,0.5,0.5,0.125
17497,1.0,1.0,1.0,1.0,0.75,0.75,0.375,1.0,0.75,0.625,0.0,0.125,0.0,0.0,0.125,0.125,0.25,0.125,0.375,0.625,0.375,0.125,0.125,0.125,0.5,0.375,0.0,0.125,0.625,0.5,0.25
17498,1.0,1.0,1.0,1.0,0.75,0.75,0.5,1.0,0.625,0.5,0.125,0.25,0.125,0.125,0.0,0.125,0.125,0.25,0.375,0.75,0.25,0.25,0.0,0.0,0.375,0.5,0.125,0.0,0.75,0.5,0.125
17499,1.0,1.0,1.0,1.0,0.75,0.75,0.375,1.0,0.75,0.5,0.0,0.125,0.125,0.25,0.125,0.0,0.0,0.375,0.25,0.625,0.125,0.125,0.125,0.125,0.5,0.375,0.25,0.125,0.75,0.375,0.0
17500,1.0,1.0,1.0,1.0,0.625,0.75,0.25,1.0,0.75,0.5,0.125,0.25,0.25,0.375,0.25,0.125,0.125,0.25,0.375,0.625,0.125,0.0,0.125,0.0,0.5,0.5,0.375,0.0,0.625,0.5,0.125
17501,1.0,1.0,1.0,1.0,0.75,0.75,0.375,1.0,0.625,0.5,0.0,0.375,0.25,0.25,0.125,0.0,0.0,0.125,0.25,0.5,0.25,0.125,0.0,0.125,0.375,0.375,0.25,0.125,0.5,0.375,0.0
17502,1.0,1.0,1.0,1.0,0.75,0.75,0.375,1.0,0.625,0.625,0.0,0.5,0.125,0.125,0.25,0.125,0.125,0.0,0.125,0.375,0.125,0.0,0.125,0.125,0.25,0.5,0.125,0.0,0.5,0.25,0.125
17503,1.0,1.0,1.0,1.0,0.875,0.875,0.5,1.0,0.625,0.75,0.125,0.375,0.25,0.125,0.125,0.25,0.0,0.0,0.0,0.375,0.0,0.125,0.25,0.25,0.375,0.625,0.25,0.125,0.375,0.25,0.0
17504,1.0,1.0,1.0,1.0,0.875,0.875,0.5,1.0,0.5,0.625,0.125,0.25,0.375,0.25,0.0,0.375,0.125,0.125,0.125,0.5,0.125,0.25,0.375,0.125,0.25,0.75,0.375,0.0,0.5,0.125,0.125
17505,1.0,1.0,1.0,1.0,0.875,0.875,0.5,1.0,0.5,0.5,0.0,0.125,0.25,0.375,0.125,0.25,0.25,0.0,0.125,0.5,0.0,0.375,0.25,0.0,0.25,0.75,0.25,0.0,0.375,0.0,0.0
17506,1.0,1.0,1.0,1.0,0.875,0.875,0.375,1.0,0.375,0.375,0.125,0.25,0.375,0.5,0.125,0.125,0.375,0.125,0.25,0.375,0.125,0.25,0.375,0.125,0.125,0.625,0.375,0.125,0.375,0.125,0.125
17507,1.0,1.0,1.0,1.0,0.875,0.875,0.5,1.0,0.25,0.25,0.0,0.375,0.25,0.5,0.25,0.25,0.25,0.0,0.125,0.25,0.125,0.125,0.25,0.0,0.0,0.5,0.5,0.125,0.25,0.0,0.25
17508,1.0,1.0,1.0,1.0,0.875,0.875,0.5,1.0,0.125,0.125,0.125,0.375,0.125,0.625,0.25,0.25,0.375,0.125,0.25,0.125,0.25,0.0,0.125,0.125,0.125,0.375,0.375,0.25,0.375,0.125,0.375
17509,1.0,1.0,1.0,1.0,0.875,0.875,0.5,1.0,0.0,0.25,0.25,0.5,0.25,0.625,0.125,0.125,0.25,0.125,0.125,0.25,0.375,0.125,0.0,0.0,0.0,0.25,0.25,0.375,0.5,0.0,0.5
