,temp=0.01,temp=2.8664285714285715,temp=5.722857142857143,temp=8.579285714285716,temp=11.435714285714287,temp=14.292142857142858,temp=17.148571428571433,temp=20.005000000000003,temp=22.861428571428576,temp=25.71785714285715,temp=28.57428571428572,temp=31.43071428571429,temp=34.28714285714286,temp=37.143571428571434,temp=40.0
4970,1.0,0.75,0.125,0.0,0.5,0.125,0.375,0.125,0.0,0.625,0.25,0.0,0.0,0.5,0.125
4971,1.0,0.875,0.0,0.125,0.5,0.25,0.5,0.0,0.125,0.75,0.375,0.125,0.125,0.375,0.0
4972,1.0,0.875,0.125,0.25,0.375,0.375,0.625,0.125,0.25,0.75,0.5,0.0,0.0,0.25,0.125
4973,1.0,0.875,0.25,0.125,0.25,0.25,0.75,0.25,0.125,0.625,0.375,0.125,0.125,0.125,0.0
4974,1.0,0.875,0.25,0.0,0.125,0.125,0.625,0.125,0.0,0.5,0.5,0.0,0.0,0.0,0.125
4975,1.0,0.875,0.375,0.125,0.25,0.25,0.5,0.25,0.125,0.625,0.375,0.125,0.125,0.125,0.0
4976,1.0,0.875,0.25,0.0,0.375,0.125,0.5,0.125,0.25,0.75,0.25,0.0,0.25,0.0,0.125
4977,1.0,0.875,0.125,0.125,0.25,0.0,0.5,0.25,0.375,0.75,0.375,0.125,0.125,0.125,0.25
4978,1.0,0.875,0.25,0.0,0.25,0.125,0.375,0.25,0.25,0.625,0.25,0.0,0.25,0.25,0.125
4979,1.0,0.875,0.25,0.125,0.25,0.125,0.25,0.375,0.375,0.5,0.25,0.125,0.375,0.125,0.25
4980,1.0,0.875,0.125,0.0,0.125,0.0,0.375,0.25,0.375,0.625,0.375,0.25,0.375,0.0,0.125
4981,1.0,0.875,0.0,0.125,0.0,0.125,0.5,0.125,0.25,0.75,0.5,0.125,0.25,0.125,0.25
4982,1.0,0.875,0.125,0.25,0.125,0.25,0.625,0.0,0.125,0.625,0.375,0.0,0.125,0.25,0.375
4983,1.0,0.875,0.25,0.125,0.0,0.125,0.5,0.125,0.0,0.5,0.25,0.125,0.0,0.125,0.5
4984,1.0,0.875,0.125,0.25,0.125,0.0,0.375,0.25,0.125,0.625,0.125,0.0,0.125,0.0,0.375
4985,1.0,0.875,0.0,0.125,0.0,0.125,0.25,0.125,0.25,0.5,0.25,0.125,0.25,0.125,0.25
4986,1.0,1.0,0.0,0.0,0.125,0.0,0.125,0.0,0.375,0.375,0.375,0.25,0.125,0.0,0.125
