,Number of Sites Chosen,Starting Point,Magnetization,Standard Deviation,time (s)
0,13,st: 1111101011011111,0.998325,0.024628629174194814,8350.858550071716
1,16,st: 1011111111111111,0.78285,0.06920713474779894,8489.242421150208
2,12,st: 0111111001010111,0.80835,0.07906660167226108,7634.117446422577
3,4,st: 0000000100010001,0.82555,0.0800879048296308,7871.555073261261
4,14,st: 1101111111001111,0.836575,0.07877035847957022,8104.70535326004
