,Magnetization,Standard Deviation,time (s)
0,1.0,0.0,3324.063289165497
1,0.7840375,0.070506284072769,3371.1624648571014
2,0.8087375,0.07878907661440133,3374.3627400398254
3,0.82595,0.07990445857397445,3384.9073543548584
4,0.836175,0.07660038756429369,3381.361539363861
5,0.8456,0.0762070534793204,3387.400632619858
6,0.8506125,0.07460688536422092,3402.255476951599
7,0.8552,0.07214454241313059,3401.5067007541656
8,0.8582625,0.06975076052452761,3415.0648460388184
9,0.8625875,0.069691228599803,4626.395980358124
10,0.8637125,0.06653780762656672,3402.2696692943573
11,0.86595,0.06556940978840667,6628.028667449951
12,0.8679,0.06465941540100716,3384.7926530838013
13,0.8696125,0.06388984538837139,3394.0909416675568
14,0.8702125,0.06093453326111557,3374.968936920166
