,temp=0.01,temp=2.8664285714285715,temp=5.722857142857143,temp=8.579285714285716,temp=11.435714285714287,temp=14.292142857142858,temp=17.148571428571433,temp=20.005000000000003,temp=22.861428571428576,temp=25.71785714285715,temp=28.57428571428572,temp=31.43071428571429,temp=34.28714285714286,temp=37.143571428571434,temp=40.0
49,1.0,0.75,0.75,0.75,0.75,0.875,0.75,1.0,0.875,0.75,0.875,0.875,0.875,0.75,1.0
50,1.0,0.75,0.75,0.75,0.875,0.75,0.875,1.0,0.75,0.875,0.875,0.75,0.875,0.875,1.0
51,1.0,0.75,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875
52,1.0,0.75,1.0,0.75,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875
53,1.0,0.75,0.875,0.875,0.75,0.875,0.875,0.75,1.0,0.875,0.875,0.75,0.875,0.875,0.875
54,1.0,0.75,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.875,0.75,0.875,0.875,0.875
55,1.0,0.75,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875
56,1.0,0.75,0.75,0.875,0.75,1.0,0.75,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875
57,1.0,1.0,0.875,0.75,0.75,0.875,0.875,1.0,0.875,0.75,0.75,0.875,0.75,0.875,0.875
58,1.0,1.0,0.75,0.875,0.75,0.75,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.75,0.75
59,1.0,0.75,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.75,0.75,0.875,0.75,0.875
60,1.0,1.0,1.0,0.875,0.75,0.75,0.875,0.875,0.75,0.875,1.0,0.875,0.875,0.75,0.875
61,1.0,0.875,1.0,0.875,0.75,0.875,0.75,0.875,0.75,0.75,0.875,0.75,0.875,0.75,0.875
62,1.0,0.75,0.75,0.75,0.75,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.75,1.0,0.875
63,1.0,0.75,0.75,0.75,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.75,0.75,0.875,0.875
64,1.0,0.75,0.875,0.875,0.875,0.75,0.875,1.0,0.75,0.75,0.875,0.875,1.0,0.75,0.875
65,1.0,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.875
66,1.0,1.0,0.75,0.875,0.75,0.75,0.875,0.75,0.875,0.75,0.875,0.875,0.875,0.875,0.75
67,1.0,0.875,0.875,0.875,0.75,0.75,0.875,1.0,0.875,0.875,1.0,0.875,0.875,0.875,0.875
68,1.0,0.75,0.75,0.75,0.875,0.875,0.875,1.0,0.875,0.875,1.0,0.75,0.875,0.875,1.0
69,1.0,0.75,0.75,0.875,0.875,0.875,0.875,0.75,0.875,0.75,0.875,0.75,0.75,0.875,1.0
70,1.0,0.75,0.75,0.75,0.875,0.75,0.75,1.0,0.75,0.875,0.75,0.875,1.0,0.875,0.875
71,1.0,0.75,0.75,0.875,0.875,0.875,1.0,0.875,1.0,0.75,0.875,0.875,1.0,0.875,0.875
