,temp=0.01,temp=1.0807142857142857,temp=2.1514285714285712,temp=3.222142857142857,temp=4.292857142857143,temp=5.363571428571428,temp=6.434285714285714,temp=7.505,temp=8.575714285714286,temp=9.64642857142857,temp=10.717142857142857,temp=11.787857142857144,temp=12.858571428571429,temp=13.929285714285713,temp=15.0
9407,1.0,1.0,0.75,0.625,0.625,0.125,0.25,0.25,0.375,0.375,0.5,0.0,0.25,0.75,0.25
9408,1.0,1.0,0.875,0.625,0.625,0.25,0.125,0.125,0.25,0.5,0.5,0.125,0.375,0.625,0.125
9409,1.0,1.0,0.875,0.625,0.75,0.375,0.25,0.0,0.375,0.375,0.5,0.25,0.25,0.5,0.25
9410,1.0,1.0,0.875,0.625,0.75,0.375,0.25,0.0,0.25,0.5,0.5,0.125,0.375,0.375,0.375
9411,1.0,1.0,0.875,0.625,0.75,0.25,0.125,0.125,0.375,0.375,0.375,0.25,0.25,0.5,0.25
9412,1.0,1.0,0.875,0.75,0.75,0.125,0.125,0.0,0.25,0.375,0.5,0.125,0.125,0.625,0.25
9413,1.0,1.0,0.875,0.75,0.875,0.25,0.25,0.125,0.375,0.25,0.375,0.125,0.25,0.625,0.25
9414,1.0,1.0,0.875,0.75,0.875,0.125,0.125,0.25,0.25,0.125,0.25,0.0,0.125,0.5,0.125
9415,1.0,1.0,0.875,0.875,0.75,0.0,0.125,0.25,0.125,0.25,0.375,0.125,0.25,0.375,0.25
9416,1.0,1.0,0.875,0.75,0.75,0.125,0.25,0.25,0.125,0.375,0.5,0.25,0.125,0.5,0.125
9417,1.0,1.0,1.0,0.625,0.625,0.0,0.375,0.125,0.25,0.25,0.375,0.375,0.125,0.625,0.25
9418,1.0,1.0,1.0,0.625,0.625,0.125,0.5,0.125,0.375,0.375,0.25,0.5,0.125,0.5,0.375
9419,1.0,1.0,1.0,0.625,0.625,0.0,0.375,0.25,0.25,0.5,0.125,0.625,0.25,0.5,0.25
9420,1.0,1.0,1.0,0.625,0.5,0.125,0.5,0.125,0.125,0.5,0.25,0.5,0.375,0.5,0.375
9421,1.0,1.0,1.0,0.625,0.625,0.125,0.625,0.0,0.25,0.5,0.125,0.375,0.25,0.375,0.25
9422,1.0,1.0,1.0,0.625,0.625,0.25,0.625,0.125,0.125,0.625,0.25,0.5,0.125,0.5,0.375
9423,1.0,1.0,1.0,0.625,0.625,0.125,0.625,0.0,0.0,0.625,0.125,0.375,0.25,0.625,0.25
9424,1.0,1.0,1.0,0.5,0.625,0.25,0.625,0.0,0.125,0.75,0.0,0.25,0.125,0.5,0.125
9425,1.0,1.0,1.0,0.375,0.5,0.375,0.5,0.125,0.25,0.625,0.125,0.375,0.25,0.375,0.0
9426,1.0,1.0,1.0,0.25,0.5,0.25,0.625,0.0,0.125,0.5,0.25,0.5,0.125,0.25,0.125
9427,1.0,1.0,1.0,0.125,0.375,0.125,0.625,0.125,0.0,0.375,0.375,0.375,0.25,0.375,0.25
9428,1.0,1.0,1.0,0.25,0.375,0.125,0.5,0.0,0.125,0.5,0.25,0.375,0.125,0.5,0.375
9429,1.0,1.0,1.0,0.25,0.375,0.25,0.625,0.125,0.0,0.5,0.375,0.5,0.0,0.625,0.375
9430,1.0,1.0,1.0,0.375,0.375,0.25,0.625,0.0,0.125,0.375,0.375,0.375,0.0,0.5,0.5
9431,1.0,1.0,1.0,0.25,0.375,0.125,0.625,0.125,0.25,0.375,0.375,0.5,0.125,0.625,0.375
9432,1.0,1.0,1.0,0.375,0.5,0.0,0.625,0.25,0.125,0.25,0.25,0.375,0.25,0.5,0.5
9433,1.0,1.0,1.0,0.375,0.375,0.125,0.625,0.125,0.0,0.125,0.125,0.25,0.375,0.5,0.375
9434,1.0,1.0,1.0,0.375,0.25,0.25,0.75,0.25,0.125,0.25,0.0,0.375,0.25,0.5,0.5
9435,1.0,1.0,1.0,0.375,0.375,0.375,0.75,0.125,0.25,0.125,0.125,0.375,0.125,0.375,0.625
9436,1.0,1.0,1.0,0.375,0.25,0.5,0.75,0.25,0.125,0.25,0.25,0.25,0.0,0.25,0.5
9437,1.0,1.0,1.0,0.5,0.125,0.5,0.75,0.375,0.25,0.125,0.125,0.375,0.125,0.125,0.375
9438,1.0,1.0,1.0,0.5,0.0,0.375,0.75,0.5,0.125,0.125,0.0,0.5,0.25,0.0,0.25
9439,1.0,1.0,1.0,0.375,0.125,0.25,0.875,0.375,0.25,0.0,0.125,0.375,0.125,0.125,0.125
9440,1.0,1.0,1.0,0.25,0.0,0.125,0.875,0.5,0.125,0.125,0.0,0.25,0.25,0.25,0.0
9441,1.0,1.0,1.0,0.125,0.125,0.25,0.875,0.625,0.25,0.25,0.125,0.25,0.375,0.25,0.125
9442,1.0,1.0,1.0,0.125,0.25,0.125,0.875,0.5,0.125,0.125,0.25,0.125,0.25,0.125,0.25
9443,1.0,1.0,0.875,0.0,0.125,0.0,1.0,0.5,0.25,0.0,0.375,0.0,0.125,0.0,0.125
9444,1.0,1.0,0.875,0.0,0.25,0.0,1.0,0.625,0.375,0.0,0.25,0.125,0.125,0.125,0.0
9445,1.0,1.0,0.875,0.125,0.125,0.125,0.875,0.75,0.375,0.0,0.375,0.0,0.25,0.25,0.125
9446,1.0,1.0,0.875,0.0,0.125,0.0,0.875,0.75,0.25,0.125,0.375,0.125,0.125,0.25,0.25
9447,1.0,1.0,0.875,0.0,0.125,0.0,0.75,0.75,0.125,0.25,0.25,0.0,0.25,0.125,0.125
9448,1.0,1.0,0.875,0.0,0.25,0.125,0.75,0.75,0.0,0.125,0.375,0.125,0.125,0.125,0.25
9449,1.0,1.0,0.875,0.125,0.25,0.25,0.625,0.75,0.125,0.25,0.25,0.0,0.25,0.0,0.125
9450,1.0,1.0,0.875,0.25,0.375,0.375,0.625,0.875,0.0,0.125,0.375,0.125,0.125,0.125,0.0
9451,1.0,1.0,0.875,0.125,0.375,0.5,0.75,0.875,0.125,0.0,0.5,0.25,0.0,0.0,0.125
9452,1.0,1.0,0.875,0.0,0.375,0.625,0.625,0.875,0.0,0.125,0.5,0.125,0.125,0.125,0.0
9453,1.0,1.0,0.875,0.125,0.25,0.75,0.5,0.75,0.125,0.25,0.375,0.0,0.0,0.0,0.125
9454,1.0,1.0,1.0,0.0,0.125,0.625,0.375,0.625,0.25,0.125,0.25,0.125,0.125,0.125,0.25
9455,1.0,1.0,1.0,0.125,0.0,0.75,0.5,0.625,0.375,0.0,0.125,0.0,0.0,0.0,0.125
9456,1.0,1.0,1.0,0.0,0.125,0.75,0.5,0.625,0.25,0.125,0.125,0.125,0.125,0.125,0.0
9457,1.0,1.0,1.0,0.125,0.125,0.625,0.375,0.625,0.375,0.25,0.25,0.25,0.125,0.25,0.0
