,kT,Magnetization
0,0.01,0.25
1,0.798947368,0
2,1.587894737,0
3,2.376842105,0
4,3.165789474,0
5,3.954736842,0.625
6,4.743684211,0.125
7,5.532631579,0.25
8,6.321578947,0
9,7.110526316,0.125
10,7.899473684,0.875
11,8.688421053,0.125
12,9.477368421,0.25
13,10.26631579,0.375
14,11.05526316,0
15,11.84421053,0
16,12.63315789,0.125
17,13.42210526,0.125
18,14.21105263,0.125
19,15,0.25
