,kT,Magnetization
0,0.01,0.125
1,0.7989473684210526,0.25
2,1.5878947368421052,0.25
3,2.3768421052631576,0.25
4,3.1657894736842103,0.25
5,3.954736842105263,0.125
6,4.7436842105263155,0.125
7,5.532631578947369,0.375
8,6.321578947368421,0.0
9,7.110526315789473,0.5
10,7.899473684210526,0.125
11,8.688421052631579,0.125
12,9.477368421052631,0.25
13,10.266315789473683,0.25
14,11.055263157894737,0.25
15,11.84421052631579,0.375
16,12.633157894736842,0.0
17,13.422105263157894,0.125
18,14.211052631578946,0.125
19,15.0,0.125
