,kT,Magnetization
0,0.01,0.125
1,0.798947368,0.125
2,1.587894737,0.25
3,2.376842105,0.375
4,3.165789474,0.25
5,3.954736842,0.5
6,4.743684211,0.25
7,5.532631579,0.125
8,6.321578947,0.25
9,7.110526316,0.25
10,7.899473684,0.25
11,8.688421053,0.125
12,9.477368421,0.25
13,10.26631579,0.25
14,11.05526316,0.125
15,11.84421053,0.125
16,12.63315789,0.75
17,13.42210526,0
18,14.21105263,0.625
19,15,0.5
