,kT,Magnetization
0,0.01,0.25
1,0.798947368,0.125
2,1.587894737,0.375
3,2.376842105,0.375
4,3.165789474,0.375
5,3.954736842,0.25
6,4.743684211,0
7,5.532631579,0.125
8,6.321578947,0.25
9,7.110526316,0
10,7.899473684,0.125
11,8.688421053,0.125
12,9.477368421,0.25
13,10.26631579,0
14,11.05526316,0
15,11.84421053,0.375
16,12.63315789,0.25
17,13.42210526,0.125
18,14.21105263,0.375
19,15,0.375
